                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9282,                 4.9081,                 1.4672,                0.43887,                0.09538,                0.02779,                0.01969,                 1.0742,                 3.6059,                 1.5256,               0.003321,               0.003321,               0.003321
                      2,                 1.0149,                 4.1711,                 1.5077,                0.34651,                0.24743,                 0.1174,                0.08694,                0.99752,                  2.925,                 1.4054,              0.0065885,              0.0065885,              0.0065885
                      3,                 1.0362,                 3.5332,                 1.4951,                0.35232,                 0.2229,                0.10132,                0.07629,                0.96353,                 3.9272,                   1.39,              0.0097899,              0.0097899,              0.0097899
                      4,                 1.0553,                 3.3169,                 1.5029,                0.35668,                 0.3051,                0.20881,                0.16937,                 0.8772,                 3.1193,                 1.3461,               0.009703,               0.009703,               0.009703
                      5,                 1.0275,                  3.049,                 1.4714,                0.31193,                 0.3476,                0.24884,                 0.2117,                0.70741,                 2.5146,                 1.1884,               0.009604,               0.009604,               0.009604
                      6,                0.99632,                 2.8551,                 1.4463,                0.43925,                0.48029,                0.45706,                 0.3779,                0.79883,                 2.0987,                 1.2598,               0.009505,               0.009505,               0.009505
                      7,                0.97981,                  2.651,                 1.4336,                0.41255,                0.51194,                 0.4594,                0.38199,                0.69801,                 2.1716,                 1.1445,               0.009406,               0.009406,               0.009406
                      8,                0.96745,                 2.5014,                 1.4222,                0.48805,                 0.5622,                0.57139,                0.47514,                 0.6551,                 1.5849,                 1.1069,               0.009307,               0.009307,               0.009307
                      9,                 0.9552,                 2.3666,                 1.4149,                0.49861,                 0.5982,                0.60075,                0.49399,                0.75835,                 1.4783,                  1.148,               0.009208,               0.009208,               0.009208
                     10,                0.94995,                 2.2717,                 1.4118,                0.52665,                0.50809,                0.57554,                0.47179,                0.84544,                 1.7499,                  1.243,               0.009109,               0.009109,               0.009109
                     11,                0.94219,                 2.2005,                 1.4033,                0.53295,                0.63177,                0.64162,                0.54122,                0.69442,                  1.481,                 1.1045,                0.00901,                0.00901,                0.00901
                     12,                0.93052,                 2.0776,                 1.3957,                0.64667,                0.52778,                0.61846,                0.51569,                0.71728,                 1.5386,                 1.1217,               0.008911,               0.008911,               0.008911
